PRECINCT NAME,Comptroller,Comptroller,Comptroller,Comptroller,Comptroller,Comptroller,Comptroller,                                                                                                                                                          
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Thomas P. DiNapoli,Paul Rodriguez,Paul Rodriguez,Thomas P. DiNapoli,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                 
Clarkstown 1 (Ward 1),181,174,19,4,0,0,17,
Clarkstown 2 (Ward 2),264,255,22,20,0,0,4,
Clarkstown 3 (Ward 3),97,193,12,10,1,0,8,
Clarkstown 4 (Ward 2),222,57,2,34,0,0,6,
Clarkstown 5 (Ward 3),95,135,27,7,2,0,14,
Clarkstown 6 (Ward 3),103,60,2,14,0,0,4,
Clarkstown 7 (Ward 2),95,180,27,10,0,0,10,
Clarkstown 8 (Ward 2),159,215,19,16,1,0,12,
Clarkstown 9 (Ward 1),303,264,25,11,0,1,12,
Clarkstown 10 (Ward 4),226,28,4,10,0,0,14,
Clarkstown 11 (Ward 4),260,275,22,24,0,0,11,
Clarkstown 12 (Ward 3),147,192,16,14,0,0,7,
Clarkstown 13 (Ward 1),163,187,16,12,0,0,6,
Clarkstown 14 (Ward 2),107,172,24,13,0,0,6,
Clarkstown 15 (Ward 3),185,177,12,14,0,0,11,
Clarkstown 16 (Ward 1),158,142,15,15,0,0,6,
Clarkstown 17 (Ward 2),173,239,26,13,1,0,20,
Clarkstown 18 (Ward 3),75,72,7,8,0,0,5,
Clarkstown 19 (Ward 4),222,270,35,19,0,0,7,
Clarkstown 20 (Ward 3),122,28,3,5,0,0,7,
Clarkstown 21 (Ward 4),136,14,2,2,1,0,12,
Clarkstown 22 (Ward 1),144,92,7,10,1,0,6,
Clarkstown 23 (Ward 2),278,97,7,48,0,0,13,
Clarkstown 24 (Ward 4),256,252,22,26,0,0,15,
Clarkstown 25 (Ward 1),139,140,11,10,0,0,10,
Clarkstown 26 (Ward 1),124,155,9,4,1,0,4,
Clarkstown 27 (Ward 4),225,274,29,12,0,0,14,
Clarkstown 28 (Ward 3),178,188,14,21,0,0,12,
Clarkstown 29 (Ward 1),249,190,30,15,0,0,17,
Clarkstown 30 (Ward 4),175,201,14,11,0,0,15,
Clarkstown 31 (Ward 4),301,277,17,19,0,0,7,
Clarkstown 32 (Ward 4),235,179,13,17,0,0,12,
Clarkstown 33 (Ward 3),119,120,7,13,0,0,6,
Clarkstown 34 (Ward 3),265,281,40,20,1,0,10,
Clarkstown 35 (Ward 3),179,77,6,8,0,0,4,
Clarkstown 36 (Ward 1),328,271,30,22,0,0,10,
Clarkstown 37 (Ward 1),246,187,22,4,0,0,11,
Clarkstown 38 (Ward 2),239,210,24,17,0,0,9,
Clarkstown 39 (Ward 3),158,127,16,17,0,0,10,
Clarkstown 40 (Ward 1),196,171,17,18,0,1,5,
Clarkstown 41 (Ward 3),224,92,10,6,0,0,9,
Clarkstown 42 (Ward 2),182,224,19,18,0,0,13,
Clarkstown 43 (Ward 2),338,236,27,34,0,0,12,
Clarkstown 44 (Ward 3),255,227,31,24,0,0,14,
Clarkstown 45 (Ward 3),165,221,28,11,0,0,13,
Clarkstown 46 (Ward 1),128,128,18,8,1,0,5,
Clarkstown 47 (Ward 3),246,244,20,18,0,1,15,
Clarkstown 48 (Ward 4),144,133,14,5,0,0,7,
Clarkstown 49 (Ward 3),284,66,9,40,0,0,14,
Clarkstown 50 (Ward 3),108,156,14,3,0,0,7,
Clarkstown 51 (Ward 2),263,239,26,29,0,0,7,
Clarkstown 52 (Ward 1),165,159,16,4,0,1,4,
Clarkstown 53 (Ward 1),148,141,12,9,0,0,11,
Clarkstown 54 (Ward 2),257,82,7,42,0,0,11,
Clarkstown 55 (Ward 2),216,217,25,18,0,0,10,
Clarkstown 56 (Ward 1),168,141,12,9,0,0,9,
Clarkstown 57 (Ward 3),251,234,17,14,0,1,12,
Clarkstown 58 (Ward 2),149,118,8,5,0,0,7,
Clarkstown 59 (Ward 1),250,191,30,28,0,0,4,
Clarkstown 60 (Ward 1),240,193,24,19,0,0,29,
Clarkstown 61 (Ward 2),190,298,24,11,1,0,9,
Clarkstown 62 (Ward 3),13,0,0,0,0,0,2,
Clarkstown 63 (Ward 2),154,130,10,19,0,0,16,
Clarkstown 64 (Ward 2),189,117,19,15,0,0,14,
Clarkstown 65 (Ward 4),161,240,25,11,0,0,13,
Clarkstown 66 (Ward 4),196,112,14,18,0,0,8,
Clarkstown 67 (Ward 1),251,231,25,19,0,0,9,
Clarkstown 68 (Ward 1),286,196,19,13,0,0,8,
Clarkstown 69 (Ward 1),247,126,6,15,0,0,8,
Clarkstown 70 (Ward 3),133,209,32,11,0,2,11,
Clarkstown 71 (Ward 4),80,105,9,3,0,0,6,
Clarkstown 72 (Ward 1),235,199,23,13,0,0,17,
Clarkstown 73 (Ward 2),437,318,29,19,0,0,29,
Clarkstown 74 (Ward 1),284,230,39,22,0,0,13,
Clarkstown 75 (Ward 4),309,195,28,13,0,0,8,
Clarkstown 76 (Ward 4),141,43,9,6,0,0,10,
Clarkstown 77 (Ward 2),128,138,8,12,0,0,3,
Clarkstown 78 (Ward 2),143,119,22,10,0,0,11,
Clarkstown 79 (Ward 4),255,83,25,13,0,0,18,
Clarkstown 80 (Ward 4),157,92,11,10,0,0,12,
Clarkstown 81 (Ward 3),243,259,29,20,0,0,15,
Clarkstown 82 (Ward 2),183,178,24,12,0,1,6,
Clarkstown 83 (Ward 4),226,124,11,20,0,1,13,
Clarkstown 84 (Ward 2),115,146,10,9,0,0,6,
Haverstraw 1,148,207,36,7,0,2,7,
Haverstraw 2,229,152,27,12,0,0,13,
Haverstraw 3,225,170,22,21,0,0,14,
Haverstraw 4,115,79,3,6,0,0,5,
Haverstraw 5,112,73,8,7,0,1,9,
Haverstraw 6,139,73,4,12,0,0,9,
Haverstraw 7,105,63,5,8,0,0,18,
Haverstraw 8,54,14,3,2,0,0,7,
Haverstraw 9,81,49,4,7,0,0,12,
Haverstraw 10,305,183,18,14,0,0,10,
Haverstraw 11,101,75,8,11,0,0,5,
Haverstraw 12,50,32,1,1,0,1,6,
Haverstraw 13,229,102,8,13,0,0,10,
Haverstraw 14,185,83,12,10,0,0,13,
Haverstraw 15,129,145,12,7,0,0,9,
Haverstraw 16,235,104,7,10,0,1,24,
Haverstraw 17,182,207,19,10,0,0,16,
Haverstraw 18,239,67,7,14,0,0,17,
Haverstraw 19,118,95,19,4,0,0,16,
Haverstraw 20,218,193,31,12,0,0,22,
Haverstraw 21,158,93,9,5,1,0,13,
Haverstraw 22,236,329,34,13,1,0,20,
Haverstraw 23,149,229,35,11,1,0,5,
Haverstraw 24,87,73,16,3,0,0,3,
Haverstraw 25,106,175,11,2,0,0,21,
Haverstraw 26,46,63,5,5,0,0,4,
Haverstraw 27,14,28,2,0,0,0,0,
Haverstraw 28,93,71,6,4,0,2,10,
Haverstraw 29,122,143,12,3,0,0,9,
Haverstraw 30,137,103,9,12,0,1,18,
Haverstraw 31,130,84,5,9,0,0,12,
Haverstraw 32,21,4,0,0,0,0,4,
Haverstraw 33,172,128,13,14,0,0,6,
Orangetown 1,511,178,15,36,0,0,21,
Orangetown 2,368,75,8,44,0,0,16,
Orangetown 3,133,248,28,15,0,1,9,
Orangetown 4,96,152,17,13,0,0,6,
Orangetown 5,298,54,10,37,0,0,13,
Orangetown 6,119,116,8,9,0,0,6,
Orangetown 7,199,39,5,51,0,0,12,
Orangetown 8,246,63,6,37,0,0,11,
Orangetown 9,282,385,48,21,0,0,21,
Orangetown 10,149,206,17,8,0,1,10,
Orangetown 11,366,74,12,80,1,0,18,
Orangetown 12,308,142,22,23,1,1,12,
Orangetown 13,218,144,22,15,0,0,9,
Orangetown 14,305,72,8,25,0,0,13,
Orangetown 15,133,47,5,12,1,0,13,
Orangetown 16,249,138,29,20,0,0,17,
Orangetown 17,154,271,38,10,0,0,14,
Orangetown 18,266,68,8,49,1,0,14,
Orangetown 19,108,233,37,17,0,0,7,
Orangetown 20,186,405,43,21,0,0,23,
Orangetown 21,207,138,16,21,1,0,13,
Orangetown 22,140,315,32,19,0,0,7,
Orangetown 23,89,232,38,6,0,1,16,
Orangetown 24,115,240,28,16,0,0,17,
Orangetown 25,91,246,19,6,0,0,6,
Orangetown 26,220,332,43,14,0,0,11,
Orangetown 27,114,224,26,7,0,0,14,
Orangetown 28,196,235,47,24,0,0,15,
Orangetown 29,129,292,25,11,0,0,7,
Orangetown 30,97,224,25,11,0,0,11,
Orangetown 31,1,1,0,0,0,0,0,
Orangetown 32,96,40,5,14,0,0,5,
Orangetown 33,289,158,21,25,1,0,9,
Orangetown 34,130,246,31,17,0,0,16,
Orangetown 36,11,7,1,1,1,1,0,
Orangetown 39,173,161,22,12,0,0,9,
Orangetown 40,126,151,17,12,0,0,5,
Orangetown 41,226,349,44,23,1,0,20,
Orangetown 42,193,193,38,27,0,0,13,
Orangetown 43,104,266,34,12,0,1,9,
Orangetown 45,134,322,50,15,0,0,11,
Orangetown 46,253,89,12,12,0,0,5,
Orangetown 47,162,232,25,21,0,0,9,
Orangetown 48,318,88,10,32,1,0,14,
Orangetown 49,224,267,26,12,0,0,15,
Orangetown 50,170,146,13,18,0,0,8,
Orangetown 51,146,146,16,4,0,0,11,
Orangetown 53,152,249,25,7,0,0,12,
Orangetown 54,84,177,30,9,0,0,7,
Orangetown 55,186,235,26,18,0,0,10,
Orangetown 56,164,181,17,12,0,0,7,
Orangetown 57,109,114,14,9,0,0,9,
Ramapo 1,128,240,26,4,0,0,25,
Ramapo 2,302,194,28,22,0,0,28,
Ramapo 3,137,191,51,12,0,0,102,
Ramapo 4,123,168,27,15,0,0,8,
Ramapo 5,140,119,8,8,0,0,11,
Ramapo 6,108,26,15,4,0,0,22,
Ramapo 7,186,111,20,14,0,0,18,
Ramapo 8,183,55,14,5,0,0,47,
Ramapo 9,94,153,31,10,1,0,22,
Ramapo 10,245,39,3,4,0,0,8,
Ramapo 11,133,114,18,18,0,0,13,
Ramapo 12,144,28,5,4,0,0,29,
Ramapo 13,189,67,24,6,0,0,45,
Ramapo 14,76,165,50,3,1,0,112,
Ramapo 15,107,152,15,8,0,0,5,
Ramapo 16,334,200,10,18,0,0,22,
Ramapo 17,257,240,34,49,1,0,32,
Ramapo 18,33,205,44,3,1,0,67,
Ramapo 19,222,262,42,16,1,0,75,
Ramapo 20,27,123,30,2,1,1,37,
Ramapo 21,80,96,76,2,5,0,177,
Ramapo 22,36,33,4,0,0,0,4,
Ramapo 23,163,46,13,4,0,0,17,
Ramapo 24,22,195,25,1,0,0,66,
Ramapo 25,14,92,39,1,2,0,102,
Ramapo 26,75,85,33,0,2,0,110,
Ramapo 27,173,144,18,9,1,1,20,
Ramapo 28,55,205,49,0,2,0,107,
Ramapo 29,223,251,52,10,3,0,70,
Ramapo 30,30,118,42,1,4,0,195,
Ramapo 31,231,239,28,22,0,0,12,
Ramapo 32,84,108,14,4,0,0,18,
Ramapo 33,40,124,28,1,0,0,29,
Ramapo 34,118,223,54,9,4,0,101,
Ramapo 35,240,69,46,3,5,0,148,
Ramapo 36,66,226,82,2,1,0,143,
Ramapo 37,83,267,34,9,0,0,22,
Ramapo 38,86,327,46,5,0,0,72,
Ramapo 39,131,183,25,13,1,0,6,
Ramapo 40,43,217,81,2,2,1,183,
Ramapo 41,30,142,38,0,0,0,85,
Ramapo 42,127,15,4,5,0,0,11,
Ramapo 43,214,194,43,8,1,0,87,
Ramapo 44,84,246,29,8,0,0,20,
Ramapo 45,9,16,9,1,1,0,33,
Ramapo 46,98,109,27,3,0,0,22,
Ramapo 47,226,35,9,10,0,0,17,
Ramapo 48,90,126,16,13,0,0,8,
Ramapo 49,32,85,37,0,1,0,87,
Ramapo 50,167,86,21,11,0,0,18,
Ramapo 51,237,87,25,4,3,0,54,
Ramapo 52,30,52,38,2,1,0,60,
Ramapo 53,85,45,24,1,0,0,40,
Ramapo 54,137,277,33,6,0,0,45,
Ramapo 55,758,22,13,1,0,1,25,
Ramapo 56,31,211,31,1,0,0,63,
Ramapo 57,108,163,47,4,0,0,66,
Ramapo 58,483,29,11,2,0,0,20,
Ramapo 59,162,281,42,13,0,0,43,
Ramapo 60,29,134,50,0,1,0,94,
Ramapo 61,179,108,17,8,0,0,9,
Ramapo 62,117,140,14,4,0,0,11,
Ramapo 63,207,12,2,4,1,0,24,
Ramapo 64,77,149,52,3,2,0,147,
Ramapo 65,150,31,6,2,1,0,25,
Ramapo 66,208,120,13,12,0,0,16,
Ramapo 67,160,178,34,21,0,0,94,
Ramapo 68,133,128,20,2,0,0,37,
Ramapo 69,199,156,17,10,0,0,10,
Ramapo 70,223,47,9,4,0,0,18,
Ramapo 71,106,92,45,3,1,0,111,
Ramapo 72,26,53,6,2,0,0,5,
Ramapo 73,78,63,9,6,0,0,6,
Ramapo 74,62,125,48,1,0,0,138,
Ramapo 75,155,88,25,6,0,0,6,
Ramapo 76,115,176,23,11,1,0,22,
Ramapo 77,175,114,19,9,0,0,6,
Ramapo 78,165,85,14,9,0,0,14,
Ramapo 79,224,171,16,8,0,0,10,
Ramapo 80,155,248,48,8,0,0,60,
Ramapo 81,100,31,2,14,0,0,9,
Ramapo 82,129,62,5,7,0,0,8,
Ramapo 83,207,134,14,19,0,0,19,
Ramapo 84,38,152,46,2,1,0,138,
Ramapo 85,112,176,84,1,4,0,163,
Ramapo 86,21,216,24,5,1,0,35,
Ramapo 87,108,22,4,4,0,0,4,
Ramapo 88,60,143,77,2,8,0,199,
Ramapo 89,154,25,6,6,0,0,23,
Ramapo 90,212,178,19,10,0,1,50,
Ramapo 91,50,26,7,4,0,0,9,
Ramapo 92,140,82,6,3,0,0,4,
Ramapo 93,65,135,64,0,4,0,235,
Ramapo 94,199,39,4,2,1,0,15,
Ramapo 95,451,28,8,1,1,0,11,
Ramapo 96,91,178,73,5,1,1,283,
Ramapo 97,233,60,32,5,2,2,123,
Ramapo 98,658,20,4,1,0,0,18,
Ramapo 99,14,8,8,0,1,0,19,
Ramapo 100,2,0,0,0,0,0,1,
Ramapo 101,18,38,16,1,0,0,37,
Ramapo 102,7,48,13,0,0,0,52,
Ramapo 103,14,54,8,1,0,0,24,
Ramapo 104,10,7,1,0,0,0,2,
Ramapo 105,8,2,0,0,0,0,0,
Ramapo 106,0,6,1,0,0,0,1,
Ramapo 107,3,1,0,1,0,0,0,
Ramapo 108,22,7,2,0,0,0,1,
Ramapo 110,58,65,8,2,0,0,3,
Ramapo 111,86,76,47,4,2,0,117,
Ramapo 112,33,175,56,1,2,0,155,
Ramapo 113,31,173,28,0,0,0,47,
Ramapo 114,39,133,44,1,1,0,71,
Ramapo 115,169,47,13,7,0,0,19,
Ramapo 116,17,134,40,2,2,0,105,
Ramapo 117,156,88,51,3,4,1,113,
Ramapo 118,399,11,4,1,0,1,9,
Stony Point 1,140,193,27,16,0,0,13,
Stony Point 2,215,266,35,14,1,0,16,
Stony Point 3,125,227,30,12,0,1,11,
Stony Point 4,191,345,26,18,0,0,8,
Stony Point 5,115,167,17,9,0,0,8,
Stony Point 6,153,248,20,21,0,1,16,
Stony Point 7,193,302,31,17,0,0,16,
Stony Point 8,174,313,39,14,1,0,9,
Stony Point 9,125,183,17,10,0,0,5,
Stony Point 10,107,199,14,15,0,1,9,
Stony Point 11,145,226,22,9,0,0,12,
Stony Point 12,161,263,39,15,0,0,15,
Stony Point 13,149,223,20,10,0,0,12,
Stony Point 14,83,169,19,7,0,0,4,
COUNTY TOTALS,48079,44086,6506,3355,112,36,8093,
