PRECINCT NAME,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,Governor and Lieutenant Governor,                                                                                                           
,DEM,REP,CON,WOR,,,,                                                                                                                                                              
,Kathy C. Hochul,Lee Zeldin,Lee Zeldin,Kathy C. Hochul,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                                               
Clarkstown 1 (Ward 1),182,188,17,5,0,0,3,
Clarkstown 2 (Ward 2),241,286,23,12,0,1,2,
Clarkstown 3 (Ward 3),85,207,14,10,1,0,4,
Clarkstown 4 (Ward 2),226,61,5,26,1,0,2,
Clarkstown 5 (Ward 3),92,155,26,5,1,0,1,
Clarkstown 6 (Ward 3),108,64,2,9,0,0,0,
Clarkstown 7 (Ward 2),91,195,26,8,0,0,2,
Clarkstown 8 (Ward 2),154,225,24,13,2,0,4,
Clarkstown 9 (Ward 1),286,296,22,8,1,0,3,
Clarkstown 10 (Ward 4),229,37,5,8,0,2,1,
Clarkstown 11 (Ward 4),232,313,22,21,1,0,3,
Clarkstown 12 (Ward 3),136,214,14,10,0,0,2,
Clarkstown 13 (Ward 1),148,207,19,7,1,0,2,
Clarkstown 14 (Ward 2),104,180,24,9,0,0,5,
Clarkstown 15 (Ward 3),179,192,16,10,0,0,2,
Clarkstown 16 (Ward 1),149,158,19,10,0,0,0,
Clarkstown 17 (Ward 2),177,257,27,6,1,0,4,
Clarkstown 18 (Ward 3),75,81,9,2,0,0,0,
Clarkstown 19 (Ward 4),202,302,36,10,1,0,2,
Clarkstown 20 (Ward 3),126,25,6,3,0,0,5,
Clarkstown 21 (Ward 4),138,16,2,4,3,0,4,
Clarkstown 22 (Ward 1),137,106,5,9,1,0,2,
Clarkstown 23 (Ward 2),280,103,7,49,0,0,4,
Clarkstown 24 (Ward 4),236,286,25,18,1,0,5,
Clarkstown 25 (Ward 1),124,165,9,8,0,0,4,
Clarkstown 26 (Ward 1),120,160,8,4,1,0,4,
Clarkstown 27 (Ward 4),212,299,31,9,1,0,2,
Clarkstown 28 (Ward 3),170,201,17,19,0,0,6,
Clarkstown 29 (Ward 1),247,205,35,11,2,0,1,
Clarkstown 30 (Ward 4),156,233,18,8,0,0,1,
Clarkstown 31 (Ward 4),307,280,18,13,0,0,3,
Clarkstown 32 (Ward 4),226,201,16,10,0,0,3,
Clarkstown 33 (Ward 3),111,139,7,6,0,0,2,
Clarkstown 34 (Ward 3),264,302,34,13,2,0,2,
Clarkstown 35 (Ward 3),180,82,4,7,0,0,1,
Clarkstown 36 (Ward 1),320,289,33,14,0,0,5,
Clarkstown 37 (Ward 1),241,197,23,7,0,0,2,
Clarkstown 38 (Ward 2),232,224,26,13,0,0,4,
Clarkstown 39 (Ward 3),158,139,15,11,0,0,5,
Clarkstown 40 (Ward 1),188,187,17,13,0,0,3,
Clarkstown 41 (Ward 3),217,101,11,7,0,1,4,
Clarkstown 42 (Ward 2),163,259,19,14,0,0,1,
Clarkstown 43 (Ward 2),325,265,28,26,0,0,3,
Clarkstown 44 (Ward 3),253,250,33,13,0,0,2,
Clarkstown 45 (Ward 3),151,249,29,7,0,0,2,
Clarkstown 46 (Ward 1),115,146,18,5,2,0,2,
Clarkstown 47 (Ward 3),242,271,16,12,1,0,2,
Clarkstown 48 (Ward 4),130,150,17,5,0,0,1,
Clarkstown 49 (Ward 3),290,78,8,34,0,0,3,
Clarkstown 50 (Ward 3),97,174,13,3,0,0,1,
Clarkstown 51 (Ward 2),254,258,26,23,0,1,2,
Clarkstown 52 (Ward 1),162,165,16,3,1,0,2,
Clarkstown 53 (Ward 1),148,150,13,8,0,1,1,
Clarkstown 54 (Ward 2),255,94,7,39,1,0,3,
Clarkstown 55 (Ward 2),205,239,25,14,1,0,2,
Clarkstown 56 (Ward 1),167,150,14,7,0,0,1,
Clarkstown 57 (Ward 3),234,257,20,11,1,0,6,
Clarkstown 58 (Ward 2),153,116,13,2,0,1,2,
Clarkstown 59 (Ward 1),239,214,30,19,0,0,1,
Clarkstown 60 (Ward 1),240,219,26,15,1,0,4,
Clarkstown 61 (Ward 2),183,320,24,3,0,1,2,
Clarkstown 62 (Ward 3),12,0,1,0,0,0,2,
Clarkstown 63 (Ward 2),148,149,13,15,0,1,3,
Clarkstown 64 (Ward 2),187,134,19,10,0,0,4,
Clarkstown 65 (Ward 4),153,265,21,10,0,0,1,
Clarkstown 66 (Ward 4),196,126,12,11,1,0,2,
Clarkstown 67 (Ward 1),236,260,23,13,0,0,3,
Clarkstown 68 (Ward 1),283,205,20,11,0,0,3,
Clarkstown 69 (Ward 1),239,140,4,18,0,1,0,
Clarkstown 70 (Ward 3),123,236,28,8,1,1,1,
Clarkstown 71 (Ward 4),67,121,10,1,0,0,4,
Clarkstown 72 (Ward 1),216,225,29,13,0,0,4,
Clarkstown 73 (Ward 2),431,337,35,17,0,0,12,
Clarkstown 74 (Ward 1),276,251,38,16,1,1,5,
Clarkstown 75 (Ward 4),290,225,25,11,0,0,2,
Clarkstown 76 (Ward 4),141,50,12,5,0,0,1,
Clarkstown 77 (Ward 2),119,151,8,10,1,0,0,
Clarkstown 78 (Ward 2),135,141,20,7,1,0,1,
Clarkstown 79 (Ward 4),254,99,30,11,0,0,0,
Clarkstown 80 (Ward 4),161,97,13,8,0,0,3,
Clarkstown 81 (Ward 3),230,290,25,16,0,1,4,
Clarkstown 82 (Ward 2),170,194,20,11,1,2,6,
Clarkstown 83 (Ward 4),227,138,9,18,0,0,3,
Clarkstown 84 (Ward 2),112,157,11,5,0,0,1,
Haverstraw 1,125,236,35,6,1,1,3,
Haverstraw 2,221,175,26,6,1,0,4,
Haverstraw 3,206,201,31,11,0,1,2,
Haverstraw 4,112,85,3,5,0,1,2,
Haverstraw 5,107,87,8,6,0,1,1,
Haverstraw 6,131,89,5,7,0,0,5,
Haverstraw 7,110,79,2,2,0,0,6,
Haverstraw 8,53,14,3,3,0,0,7,
Haverstraw 9,80,61,3,6,0,0,3,
Haverstraw 10,295,197,22,13,0,0,3,
Haverstraw 11,95,86,10,8,0,0,1,
Haverstraw 12,49,38,2,0,1,0,1,
Haverstraw 13,224,117,9,8,1,0,3,
Haverstraw 14,187,94,11,6,0,1,4,
Haverstraw 15,119,166,9,5,0,0,3,
Haverstraw 16,240,114,10,5,1,1,10,
Haverstraw 17,174,229,23,7,0,0,1,
Haverstraw 18,241,81,10,11,0,0,1,
Haverstraw 19,109,116,22,2,0,0,3,
Haverstraw 20,190,245,30,8,1,1,1,
Haverstraw 21,159,107,9,3,1,0,0,
Haverstraw 22,216,371,34,8,0,0,4,
Haverstraw 23,136,249,34,7,1,0,3,
Haverstraw 24,86,76,15,4,0,0,1,
Haverstraw 25,100,200,14,1,0,0,0,
Haverstraw 26,47,70,5,1,0,0,0,
Haverstraw 27,12,28,2,2,0,0,0,
Haverstraw 28,92,80,6,3,1,2,2,
Haverstraw 29,107,162,13,4,0,0,3,
Haverstraw 30,137,122,6,11,1,1,2,
Haverstraw 31,131,94,4,9,0,0,2,
Haverstraw 32,25,3,0,0,0,0,1,
Haverstraw 33,166,141,15,10,1,0,0,
Orangetown 1,503,200,19,32,0,0,7,
Orangetown 2,384,76,7,40,0,0,4,
Orangetown 3,129,262,25,13,0,0,5,
Orangetown 4,86,163,16,12,1,0,6,
Orangetown 5,302,56,9,38,2,0,5,
Orangetown 6,117,119,10,10,1,0,1,
Orangetown 7,209,42,6,47,0,0,2,
Orangetown 8,247,68,4,38,1,1,4,
Orangetown 9,268,417,52,16,0,0,4,
Orangetown 10,147,222,14,5,1,0,2,
Orangetown 11,375,79,12,77,1,0,7,
Orangetown 12,310,151,25,16,0,0,7,
Orangetown 13,208,163,24,11,0,0,2,
Orangetown 14,307,75,9,23,1,0,8,
Orangetown 15,138,48,6,12,2,1,4,
Orangetown 16,253,148,28,16,1,0,7,
Orangetown 17,146,292,37,10,0,0,2,
Orangetown 18,270,83,7,41,1,0,4,
Orangetown 19,111,246,33,12,0,0,0,
Orangetown 20,173,434,47,20,0,0,4,
Orangetown 21,199,152,17,18,1,0,9,
Orangetown 22,130,340,27,11,0,0,5,
Orangetown 23,85,255,36,3,0,0,3,
Orangetown 24,106,271,27,8,1,0,3,
Orangetown 25,84,261,19,3,0,0,1,
Orangetown 26,209,346,46,13,3,0,3,
Orangetown 27,106,247,23,5,1,0,3,
Orangetown 28,174,275,44,19,0,0,5,
Orangetown 29,123,303,26,9,1,0,2,
Orangetown 30,99,236,22,9,0,0,2,
Orangetown 31,0,2,0,0,0,0,0,
Orangetown 32,95,42,6,15,0,0,2,
Orangetown 33,284,173,19,23,1,0,3,
Orangetown 34,125,267,35,10,1,0,2,
Orangetown 36,10,7,1,2,1,1,0,
Orangetown 39,161,184,21,10,0,0,1,
Orangetown 40,122,168,12,8,0,0,1,
Orangetown 41,200,394,47,18,1,0,3,
Orangetown 42,183,225,34,21,1,0,0,
Orangetown 43,93,288,34,9,1,0,1,
Orangetown 45,111,346,58,13,2,0,2,
Orangetown 46,253,92,11,10,0,0,5,
Orangetown 47,145,262,21,18,0,0,3,
Orangetown 48,316,101,9,30,1,0,6,
Orangetown 49,209,297,27,10,0,0,1,
Orangetown 50,167,161,12,12,0,0,3,
Orangetown 51,136,167,18,2,0,0,0,
Orangetown 53,141,267,29,4,0,0,4,
Orangetown 54,76,193,29,7,0,0,2,
Orangetown 55,178,252,27,16,0,0,2,
Orangetown 56,161,193,18,8,0,0,1,
Orangetown 57,114,120,14,7,0,0,0,
Ramapo 1,120,271,26,2,0,0,4,
Ramapo 2,296,226,31,16,1,0,4,
Ramapo 3,128,251,102,8,0,2,2,
Ramapo 4,115,187,28,10,0,0,1,
Ramapo 5,137,135,7,4,1,0,2,
Ramapo 6,105,49,15,3,0,0,3,
Ramapo 7,188,126,20,11,0,0,4,
Ramapo 8,190,72,25,4,0,0,13,
Ramapo 9,87,164,51,7,1,0,1,
Ramapo 10,246,44,4,3,0,0,2,
Ramapo 11,134,126,15,15,0,0,6,
Ramapo 12,150,39,10,4,0,0,7,
Ramapo 13,199,87,27,2,0,0,16,
Ramapo 14,28,257,118,0,2,0,2,
Ramapo 15,103,159,17,3,1,0,4,
Ramapo 16,331,223,12,15,1,0,2,
Ramapo 17,255,274,40,39,0,0,5,
Ramapo 18,21,255,70,1,1,0,5,
Ramapo 19,207,320,72,15,0,0,4,
Ramapo 20,19,161,37,1,1,0,2,
Ramapo 21,16,214,192,1,2,0,11,
Ramapo 22,34,38,5,0,0,0,0,
Ramapo 23,170,55,12,1,1,0,4,
Ramapo 24,20,227,59,1,0,0,2,
Ramapo 25,6,156,85,0,0,1,2,
Ramapo 26,70,132,96,0,1,1,5,
Ramapo 27,167,159,29,6,2,0,3,
Ramapo 28,14,285,111,0,1,0,7,
Ramapo 29,216,308,72,9,2,0,2,
Ramapo 30,19,210,150,1,3,1,6,
Ramapo 31,234,254,29,13,0,0,2,
Ramapo 32,79,126,19,4,0,0,0,
Ramapo 33,30,148,43,0,0,0,1,
Ramapo 34,113,260,121,6,4,0,5,
Ramapo 35,24,269,139,0,0,1,78,
Ramapo 36,48,290,173,1,0,0,8,
Ramapo 37,84,277,44,5,0,0,5,
Ramapo 38,76,379,74,3,0,0,4,
Ramapo 39,128,191,28,12,0,0,0,
Ramapo 40,32,298,187,1,2,1,8,
Ramapo 41,10,179,104,0,0,0,2,
Ramapo 42,136,16,4,3,0,0,3,
Ramapo 43,209,252,71,8,0,0,7,
Ramapo 44,76,273,31,5,0,0,2,
Ramapo 45,0,38,30,0,0,0,1,
Ramapo 46,91,123,40,5,0,0,0,
Ramapo 47,223,45,9,8,0,0,12,
Ramapo 48,87,136,18,9,0,0,3,
Ramapo 49,17,135,85,0,0,0,5,
Ramapo 50,159,107,22,10,0,0,5,
Ramapo 51,233,114,47,4,1,1,10,
Ramapo 52,18,88,75,2,0,0,0,
Ramapo 53,85,63,43,1,1,1,1,
Ramapo 54,118,332,41,3,0,1,3,
Ramapo 55,704,57,23,1,0,2,33,
Ramapo 56,19,253,63,1,0,0,1,
Ramapo 57,102,194,87,4,0,0,1,
Ramapo 58,464,47,16,0,0,0,18,
Ramapo 59,144,324,61,10,1,0,1,
Ramapo 60,21,179,106,0,1,0,1,
Ramapo 61,170,124,20,3,0,0,4,
Ramapo 62,110,152,17,5,0,0,2,
Ramapo 63,221,15,0,4,1,0,9,
Ramapo 64,39,242,139,2,0,0,8,
Ramapo 65,147,46,12,5,1,1,3,
Ramapo 66,195,146,12,15,0,0,1,
Ramapo 67,148,240,71,18,3,1,6,
Ramapo 68,123,162,29,3,2,0,1,
Ramapo 69,198,171,15,7,0,1,0,
Ramapo 70,224,54,8,7,0,0,8,
Ramapo 71,96,153,100,1,1,1,6,
Ramapo 72,22,57,10,2,0,0,1,
Ramapo 73,76,73,10,1,0,0,2,
Ramapo 74,51,191,129,0,1,0,2,
Ramapo 75,147,102,22,6,1,0,2,
Ramapo 76,107,195,31,8,1,0,6,
Ramapo 77,164,128,21,7,0,0,3,
Ramapo 78,165,101,12,8,0,0,1,
Ramapo 79,215,192,16,4,0,0,2,
Ramapo 80,138,312,56,7,1,0,5,
Ramapo 81,99,38,4,12,0,0,3,
Ramapo 82,126,74,5,5,1,0,0,
Ramapo 83,208,148,14,16,1,0,6,
Ramapo 84,24,239,113,0,0,0,1,
Ramapo 85,27,320,172,0,5,0,16,
Ramapo 86,14,248,34,3,0,0,3,
Ramapo 87,105,28,3,3,0,0,3,
Ramapo 88,38,258,184,3,2,0,4,
Ramapo 89,157,34,10,5,0,0,8,
Ramapo 90,209,212,33,10,3,1,2,
Ramapo 91,51,32,9,4,0,0,0,
Ramapo 92,140,91,4,0,0,0,0,
Ramapo 93,34,256,203,0,5,1,4,
Ramapo 94,208,38,5,1,2,0,6,
Ramapo 95,419,43,12,1,1,1,23,
Ramapo 96,42,358,226,4,1,0,1,
Ramapo 97,31,253,110,0,5,1,57,
Ramapo 98,630,33,6,1,0,1,30,
Ramapo 99,11,22,14,0,0,0,3,
Ramapo 100,2,0,1,0,0,0,0,
Ramapo 101,11,57,42,0,0,0,0,
Ramapo 102,2,74,43,0,0,0,1,
Ramapo 103,9,76,14,1,0,0,1,
Ramapo 104,9,9,1,0,0,0,1,
Ramapo 105,8,2,0,0,0,0,0,
Ramapo 106,0,7,1,0,0,0,0,
Ramapo 107,3,1,0,1,0,0,0,
Ramapo 108,23,6,2,1,0,0,0,
Ramapo 110,58,67,8,2,0,0,1,
Ramapo 111,21,177,117,0,1,0,16,
Ramapo 112,35,237,146,0,1,1,2,
Ramapo 113,20,202,57,0,0,0,0,
Ramapo 114,28,159,97,0,2,0,3,
Ramapo 115,170,60,17,5,0,0,3,
Ramapo 116,11,192,96,0,0,0,1,
Ramapo 117,28,224,126,0,3,1,34,
Ramapo 118,379,24,6,1,0,0,15,
Stony Point 1,137,210,31,7,0,1,3,
Stony Point 2,208,284,38,10,1,1,5,
Stony Point 3,111,252,33,7,1,1,1,
Stony Point 4,177,371,31,8,1,0,0,
Stony Point 5,101,185,17,6,1,0,6,
Stony Point 6,142,280,20,13,0,1,3,
Stony Point 7,173,325,43,13,0,0,5,
Stony Point 8,148,347,41,11,0,1,2,
Stony Point 9,116,193,21,7,2,0,1,
Stony Point 10,97,219,17,11,0,1,0,
Stony Point 11,130,254,20,4,0,1,5,
Stony Point 12,148,290,40,10,1,0,4,
Stony Point 13,138,242,23,6,0,0,5,
Stony Point 14,73,181,17,9,0,0,2,
COUNTY TOTALS,45258,51462,9556,2596,157,58,1180,
