PRECINCT NAME,United States Senator,United States Senator,United States Senator,United States Senator,United States Senator,United States Senator,United States Senator,United States Senator,                                                                                                                                                                
,DEM,REP,CON,WOR,LAR,,,,                                                                                                                                                        
,Charles E. Schumer,Joe Pinion,Joe Pinion,Charles E. Schumer,Diane Sare,WRITE-IN,OVER VOTES,UNDER VOTES,                                                                                                                                                                            
Clarkstown 1 (Ward 1),190,175,16,4,2,0,0,8,
Clarkstown 2 (Ward 2),252,269,23,14,2,1,0,4,
Clarkstown 3 (Ward 3),95,198,12,10,1,1,0,4,
Clarkstown 4 (Ward 2),225,52,2,36,2,0,0,4,
Clarkstown 5 (Ward 3),103,133,27,5,1,2,0,9,
Clarkstown 6 (Ward 3),107,60,2,10,0,0,0,4,
Clarkstown 7 (Ward 2),96,185,25,8,0,0,0,8,
Clarkstown 8 (Ward 2),158,214,22,16,0,1,0,11,
Clarkstown 9 (Ward 1),305,268,23,11,0,1,0,8,
Clarkstown 10 (Ward 4),236,28,3,6,1,0,0,8,
Clarkstown 11 (Ward 4),256,282,25,21,2,0,0,6,
Clarkstown 12 (Ward 3),147,198,13,13,2,0,0,3,
Clarkstown 13 (Ward 1),160,196,17,7,0,1,0,3,
Clarkstown 14 (Ward 2),100,175,27,13,0,0,0,7,
Clarkstown 15 (Ward 3),184,177,12,13,1,0,0,12,
Clarkstown 16 (Ward 1),157,141,17,16,0,0,0,5,
Clarkstown 17 (Ward 2),183,237,29,10,1,1,0,11,
Clarkstown 18 (Ward 3),77,77,7,4,0,0,0,2,
Clarkstown 19 (Ward 4),216,272,41,15,2,0,0,7,
Clarkstown 20 (Ward 3),128,26,4,4,0,0,0,3,
Clarkstown 21 (Ward 4),136,12,3,4,0,1,0,11,
Clarkstown 22 (Ward 1),153,84,7,9,0,1,0,6,
Clarkstown 23 (Ward 2),284,96,9,48,1,2,1,2,
Clarkstown 24 (Ward 4),259,258,27,19,0,0,0,8,
Clarkstown 25 (Ward 1),138,145,13,9,0,0,0,5,
Clarkstown 26 (Ward 1),124,155,8,4,0,1,0,5,
Clarkstown 27 (Ward 4),217,287,29,10,0,0,0,11,
Clarkstown 28 (Ward 3),175,196,18,18,0,0,0,6,
Clarkstown 29 (Ward 1),254,195,31,11,0,0,0,10,
Clarkstown 30 (Ward 4),166,213,18,7,1,0,0,11,
Clarkstown 31 (Ward 4),309,273,19,16,0,0,0,4,
Clarkstown 32 (Ward 4),238,183,17,12,1,0,0,5,
Clarkstown 33 (Ward 3),118,122,10,10,1,1,0,3,
Clarkstown 34 (Ward 3),270,286,42,15,1,1,0,2,
Clarkstown 35 (Ward 3),183,77,5,7,1,0,0,1,
Clarkstown 36 (Ward 1),325,280,33,13,2,0,0,8,
Clarkstown 37 (Ward 1),259,176,22,8,1,0,0,4,
Clarkstown 38 (Ward 2),245,206,24,17,2,0,1,4,
Clarkstown 39 (Ward 3),164,124,18,12,1,0,0,9,
Clarkstown 40 (Ward 1),202,172,15,13,3,0,0,3,
Clarkstown 41 (Ward 3),224,95,9,6,2,0,0,5,
Clarkstown 42 (Ward 2),176,240,16,13,0,0,1,10,
Clarkstown 43 (Ward 2),333,252,25,30,1,0,0,6,
Clarkstown 44 (Ward 3),264,226,32,20,2,0,0,7,
Clarkstown 45 (Ward 3),163,229,28,10,1,0,0,7,
Clarkstown 46 (Ward 1),122,132,22,2,5,0,0,5,
Clarkstown 47 (Ward 3),250,246,20,16,0,0,0,12,
Clarkstown 48 (Ward 4),141,140,12,5,0,0,0,5,
Clarkstown 49 (Ward 3),290,71,9,33,2,0,0,8,
Clarkstown 50 (Ward 3),106,160,14,3,1,0,0,4,
Clarkstown 51 (Ward 2),261,245,26,25,0,0,0,7,
Clarkstown 52 (Ward 1),173,151,16,5,1,0,0,3,
Clarkstown 53 (Ward 1),154,133,14,8,2,0,0,10,
Clarkstown 54 (Ward 2),261,83,6,41,2,1,0,5,
Clarkstown 55 (Ward 2),215,227,22,15,0,0,0,7,
Clarkstown 56 (Ward 1),175,142,10,7,0,0,0,5,
Clarkstown 57 (Ward 3),241,245,19,13,2,0,0,9,
Clarkstown 58 (Ward 2),150,113,10,8,1,0,0,5,
Clarkstown 59 (Ward 1),240,197,32,26,2,0,0,6,
Clarkstown 60 (Ward 1),255,197,25,16,0,2,0,10,
Clarkstown 61 (Ward 2),191,301,26,5,6,0,1,3,
Clarkstown 62 (Ward 3),13,0,0,2,0,0,0,0,
Clarkstown 63 (Ward 2),157,130,14,17,1,0,1,9,
Clarkstown 64 (Ward 2),197,122,19,12,0,0,0,4,
Clarkstown 65 (Ward 4),166,237,25,9,1,0,0,12,
Clarkstown 66 (Ward 4),200,115,14,14,2,0,0,3,
Clarkstown 67 (Ward 1),249,239,22,16,1,1,0,7,
Clarkstown 68 (Ward 1),288,196,20,13,0,0,0,5,
Clarkstown 69 (Ward 1),252,125,7,14,0,0,1,3,
Clarkstown 70 (Ward 3),130,213,31,11,2,0,1,10,
Clarkstown 71 (Ward 4),75,112,9,3,0,0,0,4,
Clarkstown 72 (Ward 1),230,207,30,12,1,0,0,7,
Clarkstown 73 (Ward 2),440,319,34,15,3,0,0,21,
Clarkstown 74 (Ward 1),287,238,35,19,0,1,0,8,
Clarkstown 75 (Ward 4),306,201,30,10,2,0,0,4,
Clarkstown 76 (Ward 4),144,42,10,6,0,0,0,7,
Clarkstown 77 (Ward 2),122,145,6,13,0,0,0,3,
Clarkstown 78 (Ward 2),136,132,20,8,2,0,0,7,
Clarkstown 79 (Ward 4),267,76,25,11,0,0,0,15,
Clarkstown 80 (Ward 4),162,90,12,11,3,0,0,4,
Clarkstown 81 (Ward 3),242,261,27,21,3,0,0,12,
Clarkstown 82 (Ward 2),175,186,25,11,1,0,2,4,
Clarkstown 83 (Ward 4),233,128,9,20,1,0,0,4,
Clarkstown 84 (Ward 2),113,146,14,6,0,0,1,6,
Haverstraw 1,136,218,37,6,1,0,1,8,
Haverstraw 2,229,155,23,13,4,0,1,8,
Haverstraw 3,219,178,25,16,3,0,0,11,
Haverstraw 4,115,81,2,7,0,0,0,3,
Haverstraw 5,114,73,9,7,1,0,1,5,
Haverstraw 6,130,82,4,10,1,0,0,10,
Haverstraw 7,116,59,4,2,1,0,0,17,
Haverstraw 8,55,13,2,2,0,0,0,8,
Haverstraw 9,80,50,5,9,0,0,0,9,
Haverstraw 10,306,186,18,15,1,0,0,4,
Haverstraw 11,99,79,10,6,3,0,0,3,
Haverstraw 12,47,36,3,1,0,0,0,4,
Haverstraw 13,232,104,7,10,1,0,0,8,
Haverstraw 14,188,81,10,13,1,0,0,10,
Haverstraw 15,123,154,10,6,1,0,0,8,
Haverstraw 16,243,102,8,9,0,0,2,17,
Haverstraw 17,180,209,23,8,1,0,1,12,
Haverstraw 18,246,70,6,10,1,0,0,11,
Haverstraw 19,116,103,22,4,0,0,0,7,
Haverstraw 20,207,207,36,9,4,0,1,12,
Haverstraw 21,163,95,9,2,0,1,0,9,
Haverstraw 22,229,340,32,11,0,0,0,21,
Haverstraw 23,143,236,37,7,1,1,1,4,
Haverstraw 24,91,69,17,3,0,0,0,2,
Haverstraw 25,101,179,11,4,2,0,0,18,
Haverstraw 26,48,63,8,2,0,0,0,2,
Haverstraw 27,13,27,2,1,1,0,0,0,
Haverstraw 28,95,74,5,2,1,0,2,7,
Haverstraw 29,125,140,12,4,0,0,0,8,
Haverstraw 30,144,104,7,10,0,0,1,14,
Haverstraw 31,128,86,5,10,1,0,1,9,
Haverstraw 32,21,2,0,0,0,0,0,6,
Haverstraw 33,173,125,16,11,0,0,0,8,
Orangetown 1,517,171,17,37,2,1,0,16,
Orangetown 2,377,74,6,42,2,1,0,9,
Orangetown 3,138,248,27,13,0,0,0,8,
Orangetown 4,93,160,16,11,2,0,0,2,
Orangetown 5,301,52,11,40,1,0,0,7,
Orangetown 6,119,114,9,9,2,0,0,5,
Orangetown 7,207,39,3,48,1,0,0,8,
Orangetown 8,249,62,4,38,2,0,0,8,
Orangetown 9,284,396,48,16,2,0,0,11,
Orangetown 10,145,211,18,8,0,0,2,7,
Orangetown 11,378,73,12,75,5,0,0,8,
Orangetown 12,314,147,21,19,1,0,0,7,
Orangetown 13,217,148,24,13,0,0,0,6,
Orangetown 14,314,71,9,25,2,0,0,2,
Orangetown 15,145,42,4,15,0,1,0,4,
Orangetown 16,254,139,29,19,2,0,0,10,
Orangetown 17,160,271,38,10,1,1,0,6,
Orangetown 18,270,71,9,41,2,3,0,10,
Orangetown 19,110,235,34,17,0,0,0,6,
Orangetown 20,182,411,44,24,1,0,0,16,
Orangetown 21,206,144,19,21,0,1,0,5,
Orangetown 22,140,320,32,15,1,0,0,5,
Orangetown 23,87,243,38,4,3,0,0,7,
Orangetown 24,130,238,26,10,3,0,0,9,
Orangetown 25,88,250,21,7,0,0,0,2,
Orangetown 26,228,328,41,14,1,0,0,8,
Orangetown 27,109,232,27,4,5,0,1,7,
Orangetown 28,196,236,50,21,3,1,0,10,
Orangetown 29,120,298,26,9,2,0,1,8,
Orangetown 30,96,229,24,9,2,0,0,8,
Orangetown 31,1,1,0,0,0,0,0,0,
Orangetown 32,101,39,4,12,0,0,0,4,
Orangetown 33,288,156,19,29,3,0,0,8,
Orangetown 34,128,248,35,14,1,1,0,13,
Orangetown 36,10,7,1,1,1,1,1,0,
Orangetown 39,173,164,20,11,0,0,0,9,
Orangetown 40,121,157,15,12,0,0,1,5,
Orangetown 41,212,360,53,21,1,2,0,14,
Orangetown 42,189,205,37,21,1,0,0,11,
Orangetown 43,109,262,35,10,1,0,0,9,
Orangetown 45,117,332,53,14,4,1,1,10,
Orangetown 46,256,87,14,11,1,0,0,2,
Orangetown 47,155,245,23,18,2,0,0,6,
Orangetown 48,320,96,9,30,1,1,0,6,
Orangetown 49,219,278,26,11,0,2,0,8,
Orangetown 50,176,146,13,15,0,0,0,5,
Orangetown 51,145,150,15,5,0,0,1,7,
Orangetown 53,145,252,29,7,0,0,0,12,
Orangetown 54,78,185,30,8,0,0,0,6,
Orangetown 55,182,238,29,20,0,0,0,6,
Orangetown 56,160,186,17,7,2,0,1,8,
Orangetown 57,113,109,16,8,0,0,0,9,
Ramapo 1,136,242,26,4,0,1,0,14,
Ramapo 2,306,196,26,25,0,1,0,20,
Ramapo 3,155,188,45,11,0,0,1,93,
Ramapo 4,124,167,34,10,2,0,0,4,
Ramapo 5,140,125,8,2,3,0,0,8,
Ramapo 6,123,27,9,4,0,0,0,12,
Ramapo 7,192,114,18,14,1,0,1,9,
Ramapo 8,196,57,11,6,2,0,1,31,
Ramapo 9,95,152,31,12,1,0,0,20,
Ramapo 10,240,41,5,6,0,0,1,6,
Ramapo 11,140,118,19,12,2,0,0,5,
Ramapo 12,154,30,5,2,1,0,0,18,
Ramapo 13,205,69,18,9,1,0,0,29,
Ramapo 14,100,162,56,2,0,0,0,87,
Ramapo 15,107,154,15,6,1,0,0,4,
Ramapo 16,333,204,14,18,0,1,0,14,
Ramapo 17,259,241,32,42,3,0,0,36,
Ramapo 18,48,207,42,3,0,1,0,52,
Ramapo 19,236,259,40,18,1,1,0,63,
Ramapo 20,47,114,31,2,0,0,0,27,
Ramapo 21,113,91,78,2,0,4,0,148,
Ramapo 22,34,33,4,0,1,0,0,5,
Ramapo 23,171,46,11,2,2,0,0,11,
Ramapo 24,30,196,21,1,0,0,0,61,
Ramapo 25,33,88,42,2,0,0,0,85,
Ramapo 26,112,68,33,0,0,2,0,90,
Ramapo 27,176,148,19,8,0,1,0,14,
Ramapo 28,78,185,57,3,0,1,0,94,
Ramapo 29,246,245,51,10,0,2,0,55,
Ramapo 30,59,106,46,2,0,4,0,173,
Ramapo 31,240,225,30,19,4,1,2,11,
Ramapo 32,87,109,15,5,0,0,0,12,
Ramapo 33,43,122,29,2,0,0,0,26,
Ramapo 34,133,219,60,7,1,5,0,84,
Ramapo 35,262,72,41,4,0,4,0,128,
Ramapo 36,104,211,80,5,0,1,0,119,
Ramapo 37,93,263,41,4,1,0,0,13,
Ramapo 38,106,325,43,9,2,0,0,51,
Ramapo 39,129,184,30,10,4,0,0,2,
Ramapo 40,71,222,79,3,0,2,0,152,
Ramapo 41,41,143,42,0,0,0,0,69,
Ramapo 42,136,14,3,7,0,0,0,2,
Ramapo 43,242,191,39,10,1,1,0,63,
Ramapo 44,84,242,33,12,1,0,0,15,
Ramapo 45,14,15,12,0,0,1,0,27,
Ramapo 46,99,106,28,5,1,0,0,20,
Ramapo 47,232,32,10,11,0,1,0,11,
Ramapo 48,91,127,15,12,1,0,0,7,
Ramapo 49,44,78,35,1,1,0,0,83,
Ramapo 50,172,85,23,7,0,0,0,16,
Ramapo 51,246,81,26,5,1,3,1,47,
Ramapo 52,51,44,38,2,0,0,0,48,
Ramapo 53,89,43,22,1,2,0,0,38,
Ramapo 54,133,284,35,8,1,0,0,37,
Ramapo 55,757,26,12,1,0,0,1,23,
Ramapo 56,34,218,30,3,0,0,0,52,
Ramapo 57,110,168,51,4,2,0,0,53,
Ramapo 58,488,31,8,0,1,0,0,17,
Ramapo 59,182,274,40,10,0,0,0,35,
Ramapo 60,38,136,57,1,0,0,0,76,
Ramapo 61,179,112,18,5,1,0,0,6,
Ramapo 62,117,137,17,3,3,0,0,9,
Ramapo 63,221,11,1,3,2,1,0,11,
Ramapo 64,106,145,45,4,1,1,1,127,
Ramapo 65,156,34,5,4,1,1,0,14,
Ramapo 66,208,126,10,17,2,0,0,6,
Ramapo 67,179,180,34,19,1,0,0,74,
Ramapo 68,138,127,17,3,2,2,0,31,
Ramapo 69,202,154,17,8,1,0,0,10,
Ramapo 70,235,46,4,6,1,0,0,9,
Ramapo 71,145,83,42,4,0,2,0,82,
Ramapo 72,27,53,6,2,0,0,0,4,
Ramapo 73,81,67,9,2,0,0,0,3,
Ramapo 74,92,122,46,1,0,1,0,112,
Ramapo 75,142,96,28,8,2,1,0,3,
Ramapo 76,108,183,18,8,3,1,0,27,
Ramapo 77,170,119,20,9,2,0,0,3,
Ramapo 78,168,88,14,7,0,0,0,10,
Ramapo 79,224,170,17,9,2,0,0,7,
Ramapo 80,168,252,50,8,1,0,0,40,
Ramapo 81,102,32,4,14,0,1,0,3,
Ramapo 82,123,66,5,5,1,1,0,10,
Ramapo 83,213,137,12,15,1,1,1,13,
Ramapo 84,64,154,43,3,0,1,0,112,
Ramapo 85,139,173,82,3,0,5,0,138,
Ramapo 86,32,214,25,4,0,0,0,27,
Ramapo 87,107,23,4,3,1,0,0,4,
Ramapo 88,91,143,73,5,0,7,2,168,
Ramapo 89,157,27,6,5,0,0,0,19,
Ramapo 90,217,175,23,12,2,0,1,40,
Ramapo 91,55,26,6,4,0,0,0,5,
Ramapo 92,140,86,4,3,0,0,0,2,
Ramapo 93,95,125,67,1,0,3,0,212,
Ramapo 94,205,38,5,2,1,1,0,8,
Ramapo 95,456,29,7,2,0,0,0,6,
Ramapo 96,166,159,65,8,0,5,0,229,
Ramapo 97,247,60,31,6,0,2,0,111,
Ramapo 98,662,19,3,2,0,1,0,14,
Ramapo 99,15,10,7,0,0,1,0,17,
Ramapo 100,2,0,0,0,0,0,0,1,
Ramapo 101,25,35,15,1,0,0,0,34,
Ramapo 102,11,48,14,0,0,0,0,47,
Ramapo 103,16,58,7,1,0,0,0,19,
Ramapo 104,10,8,1,0,0,0,0,1,
Ramapo 105,8,2,0,0,0,0,0,0,
Ramapo 106,1,5,1,0,0,0,0,1,
Ramapo 107,3,1,0,1,0,0,0,0,
Ramapo 108,25,5,2,0,0,0,0,0,
Ramapo 110,56,63,10,5,0,0,0,2,
Ramapo 111,108,73,45,4,0,3,0,99,
Ramapo 112,55,173,53,6,1,1,0,133,
Ramapo 113,28,176,31,2,1,0,0,41,
Ramapo 114,36,140,54,0,0,0,0,59,
Ramapo 115,178,45,8,8,1,0,0,15,
Ramapo 116,37,130,40,0,0,2,1,90,
Ramapo 117,170,85,53,3,1,5,2,97,
Ramapo 118,403,11,3,1,0,0,0,7,
Stony Point 1,134,199,33,10,2,0,0,11,
Stony Point 2,215,274,35,13,3,1,0,6,
Stony Point 3,124,226,34,9,1,0,1,11,
Stony Point 4,181,357,32,9,1,1,1,6,
Stony Point 5,108,176,16,11,0,1,0,4,
Stony Point 6,152,258,18,15,3,0,2,11,
Stony Point 7,178,312,36,15,1,0,1,16,
Stony Point 8,165,321,41,12,4,0,0,7,
Stony Point 9,116,188,23,10,0,0,0,3,
Stony Point 10,102,206,17,14,0,0,1,5,
Stony Point 11,144,234,21,5,1,0,0,9,
Stony Point 12,158,269,39,13,2,0,0,12,
Stony Point 13,143,228,23,9,2,0,0,9,
Stony Point 14,79,171,18,8,1,0,0,5,
COUNTY TOTALS,49252,44565,6618,3046,282,130,53,6321,
